CODE;NAME;PLATFORM;YEAR;GENRE;PUBLISHER
335;FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts
337;Battlefield 4;PS3;2013;Shooter;Electronic Arts
340;Tony Hawk's Pro Skater 4;PS2;2002;Sports;Activision
343;SOCOM: U.S. Navy SEALs;PS2;2002;Shooter;Sony Computer Entertainment
345;Gran Turismo 6;PS3;2013;Racing;Sony Computer Entertainment
346;Jak and Daxter: The Precursor Legacy;PS2;2001;Platform;Sony Computer Entertainment
348;FIFA Soccer 10;PS3;2009;Sports;Electronic Arts
349;Pro Evolution Soccer 2008;PS2;2007;Sports;Konami Digital Entertainment
350;Call of Duty: Ghosts;PS4;2013;Shooter;Activision
351;Resident Evil 4;PS2;2005;Action;Capcom
352;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft
353;Star Wars: Battlefront;PS2;2004;Shooter;LucasArts
355;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts
358;Star Wars: Battlefront II;PS2;2005;Shooter;LucasArts
361;Grand Theft Auto: Liberty City Stories;PS2;2006;Action;Take-Two Interactive
362;The Getaway;PS2;2002;Action;Sony Computer Entertainment
364;James Bond 007: Agent Under Fire;PS2;2001;Shooter;Electronic Arts
365;LEGO Star Wars: The Video Game;PS2;2005;Action;Eidos Interactive
366;Battlefield 4;X360;2013;Shooter;Electronic Arts
367;FIFA Soccer 11;X360;2010;Sports;Electronic Arts
370;Left 4 Dead;X360;2008;Shooter;Electronic Arts
372;Resident Evil 5;X360;2009;Action;Capcom
374;Assassin's Creed: Brotherhood;X360;2010;Action;Ubisoft
376;Batman: Arkham Asylum;X360;2009;Action;Eidos Interactive
379;Star Wars Battlefront (2015);XOne;2015;Shooter;Electronic Arts
380;Battlefield: Bad Company 2;X360;2010;Shooter;Electronic Arts
382;Assassin's Creed: Unity;XOne;2014;Action;Ubisoft
383;Far Cry 3;PS3;2012;Shooter;Ubisoft
385;Borderlands;X360;2009;Shooter;Take-Two Interactive
386;Tekken 4;PS2;2002;Fighting;Namco Bandai Games
387;Battlefield 4;PS4;2013;Shooter;Electronic Arts
388;LittleBigPlanet 2;PS3;2011;Platform;Sony Computer Entertainment
391;Spider-Man 2;PS2;2004;Action;Activision
393;FIFA Soccer 2003;PS2;2002;Sports;Electronic Arts
395;LEGO Batman: The Videogame;X360;2008;Action;Warner Bros. Interactive Entertainment
396;Metal Gear Solid V: The Phantom Pain;PS4;2015;Action;Konami Digital Entertainment
402;Assassin's Creed IV: Black Flag;X360;2013;Action;Ubisoft
404;James Bond 007: Nightfire;PS2;2002;Shooter;Electronic Arts
405;Ratchet & Clank;PS2;2002;Platform;Sony Computer Entertainment
407;Star Wars Episode III: Revenge of the Sith;PS2;2005;Action;LucasArts
408;Max Payne;PS2;2001;Shooter;Take-Two Interactive
409;The Lord of the Rings: The Return of the King;PS2;2003;Action;Electronic Arts
410;Assassin's Creed Syndicate;PS4;2015;Action;Ubisoft
411;Destiny;XOne;2014;Shooter;Activision
412;True Crime: Streets of LA;PS2;2003;Action;Activision
417;FIFA 16;XOne;2015;Sports;Electronic Arts
418;L.A. Noire;PS3;2011;Adventure;Take-Two Interactive
419;Madden NFL 16;PS4;2015;Sports;Electronic Arts
428;Dance Central;X360;2010;Misc;MTV Games
429;Enter the Matrix;PS2;2003;Action;Atari
431;Fallout: New Vegas;PS3;2010;Role-Playing;Bethesda Softworks
434;Ace Combat 04: Shattered Skies;PS2;2001;Simulation;Sony Computer Entertainment Europe
439;Resident Evil 6;PS3;2012;Shooter;Capcom
440;Halo: The Master Chief Collection;XOne;2014;Shooter;Microsoft Game Studios
441;FIFA Soccer 08;PS2;2007;Sports;Electronic Arts
446;The Elder Scrolls IV: Oblivion;PS3;2007;Role-Playing;Ubisoft
448;Heavy Rain;PS3;2010;Adventure;Sony Computer Entertainment
449;Mass Effect 2;X360;2010;Role-Playing;Electronic Arts
450;FIFA 15;X360;2014;Sports;Electronic Arts
451;Dragon Ball Z: Budokai;PS2;2002;Fighting;Atari
452;Madden NFL 2002;PS2;2001;Sports;Electronic Arts
454;Borderlands 2;X360;2012;Shooter;Take-Two Interactive
458;Mass Effect 3;X360;2012;Role-Playing;Electronic Arts
459;Kung Fu Panda;X360;2008;Action;Activision
460;Far Cry 3;X360;2012;Shooter;Ubisoft
462;Saints Row 2;X360;2008;Action;THQ
464;Killzone 2;PS3;2009;Shooter;Sony Computer Entertainment
465;Tom Clancy's Splinter Cell;XB;2002;Action;Ubisoft
467;WWE SmackDown! Shut Your Mouth;PS2;2002;Sports;THQ
468;Gears of War: Ultimate Edition;XOne;2015;Shooter;Microsoft Game Studios
469;NBA 2K13;X360;2012;Sports;Take-Two Interactive
470;Dragon Ball Z: Budokai Tenkaichi 3;PS2;2007;Fighting;Atari
472;Middle-Earth: Shadow of Mordor;PS4;2014;Action;Warner Bros. Interactive Entertainment
475;World Soccer Winning Eleven 6 International;PS2;2002;Sports;Konami Digital Entertainment
476;Devil May Cry;PS2;2001;Action;Capcom
478;Battlefield: Bad Company 2;PS3;2010;Shooter;Electronic Arts
481;Sonic Heroes;PS2;2003;Platform;Sega
483;Hitman 2: Silent Assassin;PS2;2002;Action;Eidos Interactive
484;Street Fighter IV;X360;2009;Fighting;Capcom
486;SOCOM II: U.S. Navy SEALs;PS2;2003;Shooter;Sony Computer Entertainment
487;WWE SmackDown! vs. RAW 2006;PS2;2005;Fighting;THQ
488;inFAMOUS;PS3;2009;Action;Sony Computer Entertainment
490;Mass Effect;X360;2007;Role-Playing;Microsoft Game Studios
494;FIFA 14;PS4;2013;Sports;Electronic Arts
495;Titanfall;XOne;2014;Shooter;Electronic Arts
496;Sonic Mega Collection Plus;PS2;2004;Misc;Sega
497;Sega Superstars Tennis;X360;2008;Sports;Sega
498;World Soccer Winning Eleven 7 International;PS2;2003;Sports;Konami Digital Entertainment
499;Need for Speed: Most Wanted;PS3;2012;Racing;Electronic Arts
500;Hot Shots Golf 3;PS2;2001;Sports;Sony Computer Entertainment
501;Call of Duty: Finest Hour;PS2;2004;Shooter;Activision
506;Call of Duty: Ghosts;XOne;2013;Shooter;Activision
507;Madden NFL 13;X360;2012;Sports;Electronic Arts
508;The Elder Scrolls III: Morrowind;XB;2002;Role-Playing;Ubisoft
509;Mortal Kombat;PS3;2011;Fighting;Warner Bros. Interactive Entertainment
514;FIFA 16;PS3;2015;Sports;Electronic Arts
515;Assassin's Creed: Brotherhood;PS3;2010;Action;Ubisoft
516;BioShock;X360;2007;Shooter;Take-Two Interactive
517;Madden NFL 10;X360;2009;Sports;Electronic Arts
518;Medal of Honor;PS3;2010;Shooter;Electronic Arts
519;WWE SmackDown! vs. Raw;PS2;2002;Fighting;THQ
523;Need for Speed: Hot Pursuit;PS3;2010;Racing;Electronic Arts
525;WWE SmackDown! Here Comes the Pain;PS2;2003;Fighting;THQ
526;Star Wars: The Force Unleashed;X360;2008;Action;LucasArts
529;Killzone 3;PS3;2011;Shooter;Sony Computer Entertainment
531;WWF SmackDown! Just Bring It;PS2;2001;Fighting;THQ
535;NBA Street;PS2;2001;Sports;Electronic Arts
538;Jak II;PS2;2003;Platform;Sony Computer Entertainment
539;inFAMOUS: Second Son;PS4;2014;Action;Sony Computer Entertainment
540;Ratchet & Clank: Going Commando;PS2;2003;Platform;Sony Computer Entertainment
541;Tekken 6;PS3;2009;Fighting;Namco Bandai Games
542;The Sims;PS2;2003;Simulation;Electronic Arts
544;Saints Row: The Third;X360;2011;Action;THQ
547;Assassin's Creed IV: Black Flag;PS4;2013;Action;Ubisoft
550;L.A. Noire;X360;2011;Adventure;Take-Two Interactive
551;Call of Duty 3;X360;2006;Shooter;Activision
553;Onimusha: Warlords;PS2;2001;Action;Virgin Interactive
554;Mortal Kombat X;PS4;2015;Fighting;Warner Bros. Interactive Entertainment
556;Madden NFL 12;X360;2011;Sports;Electronic Arts
557;LEGO Star Wars II: The Original Trilogy;PS2;2006;Action;LucasArts
558;Madden NFL 11;X360;2010;Sports;Electronic Arts
560;Skate 3;X360;2010;Sports;Electronic Arts
561;Burnout 3: Takedown;PS2;2004;Racing;Electronic Arts
563;Need for Speed: Shift;PS3;2009;Racing;Electronic Arts
564;Final Fantasy XIII-2;PS3;2011;Role-Playing;Square Enix
566;Call Of Duty 2: Big Red One;PS2;2005;Shooter;Activision
567;Guitar Hero: World Tour;X360;2008;Misc;Activision
569;Fable;XB;2004;Role-Playing;Microsoft Game Studios
571;Tom Clancy's Splinter Cell;PS2;2003;Action;Ubisoft
576;LEGO Star Wars: The Complete Saga;X360;2007;Action;LucasArts
577;Midnight Club: Street Racing;PS2;2000;Racing;Take-Two Interactive
579;Halo Wars;X360;2009;Strategy;Microsoft Game Studios
580;God of War Collection;PS3;2009;Action;Sony Computer Entertainment
581;ESPN NFL 2K5;PS2;2004;Sports;Sega
583;Medal of Honor;X360;2010;Shooter;Electronic Arts
584;FIFA Soccer 10;X360;2009;Sports;Electronic Arts
585;NBA 2K12;X360;2011;Sports;Take-Two Interactive
587;Harry Potter and the Chamber of Secrets;PS2;2002;Action;Electronic Arts
590;FIFA Soccer 09;PS3;2008;Sports;Electronic Arts
591;Ratchet & Clank Future: Tools of Destruction;PS3;2007;Platform;Sony Computer Entertainment
592;NBA Live 2005;PS2;2004;Sports;Electronic Arts
594;Killzone: Shadow Fall;PS4;2013;Shooter;Sony Computer Entertainment
595;Ghostbusters: The Video Game (DS Version);X360;2009;Action;Take-Two Interactive
597;WWE SmackDown vs. RAW 2007;PS2;2006;Fighting;THQ
598;Ratchet & Clank: Up Your Arsenal;PS2;2004;Platform;Sony Computer Entertainment
600;Dragon Age: Origins;X360;2009;Role-Playing;Electronic Arts
601;Madden NFL 08;PS2;2007;Sports;Electronic Arts
604;Madden NFL 13;PS3;2012;Sports;Electronic Arts
607;Madden NFL 09;X360;2008;Sports;Electronic Arts
609;Crazy Taxi;PS2;2001;Racing;Acclaim Entertainment
613;Tomb Raider (2013);PS3;2013;Action;Square Enix
614;Marvel: Ultimate Alliance;X360;2006;Role-Playing;Activision
615;PES 2009: Pro Evolution Soccer;PS2;2008;Sports;Konami Digital Entertainment
617;Saints Row: The Third;PS3;2011;Action;THQ
618;Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City;XB;2003;Action;Take-Two Interactive
620;Mortal Kombat: Deadly Alliance;PS2;2002;Fighting;Midway Games
621;Resistance 2;PS3;2008;Shooter;Sony Computer Entertainment
622;Pure;X360;2008;Racing;Disney Interactive Studios
624;NBA 2K13;PS3;2012;Sports;Take-Two Interactive
626;NBA 2K14;X360;2013;Sports;Take-Two Interactive
629;Midnight Club: Los Angeles;PS3;2008;Racing;Take-Two Interactive
633;Halo: Combat Evolved Anniversary;X360;2011;Shooter;Microsoft Game Studios
635;The Sims: Bustin' Out;PS2;2003;Simulation;Electronic Arts
637;Tom Clancy's Rainbow Six: Vegas 2;X360;2008;Shooter;Ubisoft
640;pro evolution soccer 2011;PS3;2010;Sports;Konami Digital Entertainment
641;Dragon Ball Z: Budokai 2;PS2;2003;Fighting;Atari
642;ATV Offroad Fury;PS2;2001;Racing;Sony Computer Entertainment
644;Minecraft;XOne;2014;Misc;Microsoft Game Studios
645;Need for Speed: ProStreet;PS2;2007;Racing;Electronic Arts
646;Madden NFL 16;XOne;2015;Sports;Electronic Arts
651;Need for Speed (2015);PS4;2015;Racing;Electronic Arts
652;Zumba Fitness;X360;2010;Sports;505 Games
656;Batman: Arkham Origins;PS3;2013;Action;Warner Bros. Interactive Entertainment
657;Dead Island;X360;2011;Action;Deep Silver
658;Guitar Hero;PS2;2005;Misc;RedOctane
659;LEGO Star Wars: The Complete Saga;PS3;2007;Action;LucasArts
660;Kinect: Disneyland Adventures;X360;2011;Misc;Microsoft Game Studios
662;Bloodborne;PS4;2015;Action;Sony Computer Entertainment
663;NBA 2K15;PS4;2014;Sports;Take-Two Interactive
664;Madden NFL 11;PS3;2010;Sports;Electronic Arts
665;Yu-Gi-Oh! The Duelists of the Roses;PS2;2001;Misc;Konami Digital Entertainment
666;Madden NFL 08;X360;2007;Sports;Electronic Arts
668;The Incredibles;PS2;2004;Action;THQ
669;Tony Hawk's Underground 2;PS2;2004;Sports;Activision
670;Madden NFL 10;PS3;2009;Sports;Electronic Arts
671;Kinect Sports: Season Two;X360;2011;Sports;Microsoft Game Studios
676;Midnight Club: Los Angeles;X360;2008;Racing;Take-Two Interactive
678;WWE SmackDown vs Raw 2008;PS2;2007;Fighting;THQ
680;Resident Evil - Code: Veronica X;PS2;2001;Action;Capcom
681;The Sims 3;X360;2010;Simulation;Electronic Arts
683;NBA 2K16;XOne;2015;Sports;Take-Two Interactive
687;James Bond 007: Everything or Nothing;PS2;2004;Shooter;Electronic Arts
692;LEGO Marvel Super Heroes;X360;2013;Action;Warner Bros. Interactive Entertainment
695;Dead Island;PS3;2011;Action;Deep Silver
697;God of War: Ascension;PS3;2013;Action;Sony Computer Entertainment
698;Need for Speed Underground 2;XB;2004;Racing;Electronic Arts
699;Pro Evolution Soccer 2010;PS3;2009;Sports;Konami Digital Entertainment
703;FIFA Soccer 09;PS2;2008;Sports;Electronic Arts
704;Star Wars: The Force Unleashed;PS3;2008;Action;LucasArts
705;Borderlands 2;PS3;2012;Shooter;Take-Two Interactive
708;Sonic's Ultimate Genesis Collection;PS3;2009;Misc;Sega
712;Guitar Hero III: Legends of Rock;PS3;2007;Misc;Activision
716;Onimusha 2: Samurai's Destiny;PS2;2002;Adventure;Capcom
719;Madden NFL 12;PS3;2011;Sports;Electronic Arts
726;Dance Dance Revolution X2;PS2;2009;Simulation;Konami Digital Entertainment
728;Prince of Persia: The Sands of Time;PS2;2003;Action;Ubisoft
731;Need for Speed: Hot Pursuit;X360;2010;Racing;Electronic Arts
732;BioShock 2;X360;2010;Shooter;Take-Two Interactive
733;Assassin's Creed IV: Black Flag;XOne;2013;Action;Ubisoft
734;Devil May Cry 3: Dante's Awakening Special Edition;PS2;2006;Action;Capcom
735;Rock Band 2;X360;2008;Misc;Electronic Arts
737;Guitar Hero II;X360;2007;Misc;Activision
742;Pro Evolution Soccer 2012;PS3;2011;Action;Konami Digital Entertainment
743;Saints Row;X360;2006;Action;THQ
744;Star Wars: Knights of the Old Republic;XB;2003;Role-Playing;Activision
747;Hitman: Absolution;PS3;2012;Action;Square Enix
749;ATV Offroad Fury 2;PS2;2002;Racing;THQ
750;Forza Motorsport 5;XOne;2013;Racing;Microsoft Game Studios
751;Madden NFL 25;X360;2013;Sports;Electronic Arts
754;Final Fantasy XIII;X360;2010;Role-Playing;Square Enix
760;Tom Clancy's Rainbow Six: Siege;PS4;2015;Shooter;Ubisoft
762;FIFA 15;XOne;2014;Sports;Electronic Arts
769;Dance Dance Revolution Extreme;PS2;2004;Simulation;Konami Digital Entertainment
772;Far Cry: Primal;PS4;2016;Action;Ubisoft
776;Project Gotham Racing;XB;2001;Racing;Microsoft Game Studios
778;NBA 2K12;PS3;2011;Sports;Take-Two Interactive
779;Borderlands;PS3;2009;Shooter;Take-Two Interactive
781;PES 2009: Pro Evolution Soccer;PS3;2008;Sports;Konami Digital Entertainment
782;Need for Speed: Hot Pursuit 2;PS2;2002;Racing;Electronic Arts
785;Dynasty Warriors 4;PS2;2003;Action;Tecmo Koei
786;Mortal Kombat;X360;2011;Fighting;Warner Bros. Interactive Entertainment
788;Scooby-Doo! Night of 100 Frights;PS2;2002;Platform;THQ
789;Project Gotham Racing (JP weekly sales);XB;2002;Action;Microsoft Game Studios
791;Portal 2;X360;2011;Shooter;Valve Software
792;Devil May Cry 3: Dante's Awakening;PS2;2005;Action;Capcom
794;Dead Rising;X360;2006;Action;Capcom
795;Finding Nemo;PS2;2003;Action;THQ
796;NBA 2K11;X360;2010;Action;Take-Two Interactive
799;Battlefield: Hardline;PS4;2015;Shooter;Electronic Arts
802;Tetris Worlds;PS2;2002;Puzzle;THQ
803;Need For Speed: Undercover;PS3;2008;Racing;Electronic Arts
806;Ghostbusters: The Video Game (DS Version);PS3;2010;Action;Take-Two Interactive
809;Skate 3;PS3;2010;Sports;Electronic Arts
812;UFC 2009 Undisputed;X360;2009;Fighting;THQ
813;Dark Souls;PS3;2011;Role-Playing;Namco Bandai Games
815;Need for Speed: ProStreet;X360;2007;Racing;Electronic Arts
816;The Sims 3;PS3;2010;Simulation;Electronic Arts
817;Tom Clancy's Splinter Cell: Conviction;X360;2010;Action;Ubisoft
821;SoulCalibur II;PS2;2003;Fighting;Namco Bandai Games
823;Need for Speed: ProStreet;PS3;2007;Racing;Electronic Arts
825;NBA 2K14;PS3;2013;Sports;Take-Two Interactive
828;Diablo III;PS3;2013;Role-Playing;Activision
830;PGR4 - Project Gotham Racing 4;X360;2007;Racing;Microsoft Game Studios
832;Dance Central 2;X360;2011;Misc;Microsoft Game Studios
834;SOCOM: U.S. Navy SEALs: Combined Assault;PS2;2006;Shooter;Sony Computer Entertainment
835;Peter Jackson's King Kong: The Official Game of the Movie;PS2;2005;Action;Ubisoft
837;Need for Speed: The Run;PS3;2011;Action;Electronic Arts
838;Madden NFL 15;PS4;2014;Sports;Electronic Arts
840;Just Dance 3;X360;2011;Misc;Ubisoft
841;NBA Live 2004;PS2;2003;Sports;Electronic Arts
842;Dead Space;PS3;2008;Action;Electronic Arts
843;Call of Duty 2;X360;2005;Shooter;Activision
844;Madden NFL 15;X360;2014;Sports;Electronic Arts
845;Forza Horizon;X360;2012;Racing;Microsoft Game Studios
847;Tom Clancy's The Division;XOne;2016;Shooter;Ubisoft
848;LEGO Marvel Super Heroes;PS3;2013;Action;Warner Bros. Interactive Entertainment
850;DriveClub;PS4;2014;Racing;Sony Computer Entertainment
